Time,Frequency
20200105-011603,21
20200105-011703,7
20200105-011803,23
20200105-011903,17
20200105-012003,16
20200105-012103,17
20200105-012203,16
20200105-012303,14
20200105-012403,17
20200105-012504,13
20200105-012604,13
20200105-012704,9
20200105-012804,14
20200105-012904,12
20200105-013004,15
20200105-013104,15
20200105-013204,13
20200105-013304,8
20200105-013404,6
20200105-013504,9
20200105-013604,13
20200105-013704,12
20200105-013804,8
20200105-013904,13
20200105-014004,11
20200105-014104,15
20200105-014204,22
20200105-014304,12
20200105-014404,10
20200105-014504,12
20200105-014604,12
20200105-014705,15
20200105-014805,14
20200105-014905,9
20200105-015005,19
20200105-015105,15
20200105-015205,15
20200105-015305,19
20200105-015405,8
20200105-015505,11
20200105-015605,9
20200105-015705,15
20200105-015805,18
20200105-015905,16
20200105-020005,10
20200105-020105,22
20200105-020205,11
20200105-020305,18
20200105-020405,11
20200105-020505,13
20200105-020605,9
20200105-020705,13
20200105-020806,16
20200105-020906,12
20200105-021006,7
20200105-021106,11
20200105-021206,16
20200105-021306,5
20200105-021406,12
20200105-021506,7
20200105-021606,7
20200105-021706,16
20200105-021806,12
20200105-021906,18
20200105-022006,13
20200105-022106,7
20200105-022206,10
20200105-022306,11
20200105-022406,15
20200105-022506,12
20200105-022606,14
20200105-022706,10
20200105-022807,15
20200105-022907,8
20200105-023007,17
20200105-023107,10
20200105-023207,14
20200105-023307,19
20200105-023407,17
20200105-023507,20
20200105-023607,11
20200105-023707,8
20200105-023807,15
20200105-023907,14
20200105-024007,6
20200105-024107,16
20200105-024207,19
20200105-024307,14
20200105-024407,14
20200105-024507,10
20200105-024607,10
20200105-024707,15
20200105-024807,9
20200105-024907,13
20200105-025008,8
20200105-025108,11
20200105-025208,9
20200105-025308,17
20200105-025408,8
20200105-025508,11
20200105-025608,42
20200105-025708,15
20200105-025808,15
20200105-025908,11
20200105-030008,13
20200105-030108,21
20200105-030208,5
20200105-030308,11
20200105-030408,9
20200105-030508,9
20200105-030608,12
20200105-030708,10
20200105-030809,14
20200105-030909,11
20200105-031009,11
20200105-031109,10
20200105-031209,10
20200105-031309,7
20200105-031409,6
20200105-031509,12
20200105-031609,7
20200105-031709,18
20200105-031809,8
20200105-031909,11
20200105-032009,18
20200105-032109,3
20200105-032209,10
20200105-032309,10
20200105-032409,14
20200105-032509,12
20200105-032609,12
20200105-032710,4
20200105-032810,7
20200105-032910,7
20200105-033010,13
20200105-033110,17
20200105-033210,7
20200105-033310,7
20200105-033410,9
20200105-033510,10
20200105-033610,8
20200105-033710,10
20200105-033810,11
20200105-033910,7
20200105-034010,5
20200105-034110,10
20200105-034210,9
20200105-034310,12
20200105-034410,8
20200105-034510,13
20200105-034610,7
20200105-034710,9
20200105-034811,22
20200105-034911,10
20200105-035011,19
20200105-035111,14
20200105-035211,5
20200105-035311,21
20200105-035411,10
20200105-035511,10
20200105-035611,7
20200105-035711,10
20200105-035811,7
20200105-035911,16
20200105-040011,12
20200105-040111,10
20200105-040211,10
20200105-040311,15
20200105-040411,6
20200105-040511,7
20200105-040611,11
20200105-040711,10
20200105-040811,13
20200105-040911,8
20200105-041012,15
20200105-041112,14
20200105-041212,18
20200105-041312,21
20200105-041412,12
20200105-041512,19
20200105-041612,16
20200105-041712,8
20200105-041812,11
20200105-041912,16
20200105-042012,8
20200105-042112,17
20200105-042212,8
20200105-042312,12
20200105-042412,16
20200105-042512,14
20200105-042612,10
20200105-042712,5
20200105-042812,12
20200105-042912,17
20200105-043012,17
20200105-043113,12
20200105-043213,11
20200105-043313,13
20200105-043413,9
20200105-043513,12
20200105-043613,4
20200105-043713,7
20200105-043813,18
20200105-043913,12
20200105-044013,12
20200105-044113,15
20200105-044213,13
20200105-044313,14
20200105-044413,13
20200105-044513,15
20200105-044613,4
20200105-044713,12
20200105-044813,10
20200105-044914,12
20200105-045014,16
20200105-045114,13
20200105-045214,13
20200105-045314,18
20200105-045414,12
20200105-045514,14
20200105-045614,9
20200105-045714,5
20200105-045814,9
20200105-045914,12
20200105-050014,9
20200105-050114,11
20200105-050214,12
20200105-050314,12
20200105-050414,8
20200105-050514,12
20200105-050614,8
20200105-050714,6
20200105-050814,15
20200105-050915,9
20200105-051015,10
20200105-051115,15
20200105-051215,7
20200105-051315,13
20200105-051415,3
20200105-051515,8
20200105-051615,3
20200105-051715,5
20200105-051815,12
20200105-051915,6
20200105-052015,6
20200105-052115,7
20200105-052215,9
20200105-052315,13
20200105-052415,6
20200105-052515,9
20200105-052615,16
20200105-052715,9
20200105-052815,13
20200105-052915,10
20200105-053015,10
20200105-053116,14
20200105-053216,8
20200105-053316,5
20200105-053416,8
20200105-053516,8
20200105-053616,13
20200105-053716,12
20200105-053816,4
20200105-053916,8
20200105-054016,9
20200105-054116,10
20200105-054216,6
20200105-054316,10
20200105-054416,10
20200105-054516,11
20200105-054616,10
20200105-054716,11
20200105-054816,11
20200105-054916,4
20200105-055016,6
20200105-055117,6
20200105-055217,6
20200105-055317,9
20200105-055417,8
20200105-055517,7
20200105-055617,11
20200105-055717,3
20200105-055817,6
20200105-055917,6
20200105-060017,9
20200105-060117,11
20200105-060217,9
20200105-060317,7
20200105-060417,9
20200105-060517,10
20200105-060617,6
20200105-060717,12
20200105-060817,7
20200105-060917,8
20200105-061017,9
20200105-061117,5
20200105-061218,18
20200105-061318,9
20200105-061418,10
20200105-061518,15
20200105-061618,16
20200105-061718,13
20200105-061818,13
20200105-061918,6
20200105-062018,7
20200105-062118,9
20200105-062218,5
20200105-062318,13
20200105-062418,11
20200105-062518,7
20200105-062618,7
20200105-062718,12
20200105-062818,9
20200105-062918,10
20200105-063018,9
20200105-063118,9
20200105-063218,7
20200105-063318,9
20200105-063418,8
20200105-063519,8
20200105-063619,15
20200105-063719,9
20200105-063819,8
20200105-063919,10
20200105-064019,10
20200105-064119,5
20200105-064219,9
20200105-064319,4
20200105-064419,11
20200105-064519,8
20200105-064619,5
20200105-064719,16
20200105-064819,10
20200105-064919,9
20200105-065019,20
20200105-065119,8
20200105-065219,7
20200105-065319,7
20200105-065419,6
20200105-065519,10
20200105-065620,7
20200105-065720,9
20200105-065820,5
20200105-065920,11
20200105-070020,15
20200105-070120,13
20200105-070220,10
20200105-070320,13
20200105-070420,11
20200105-070520,8
20200105-070620,16
20200105-070720,9
20200105-070820,7
20200105-070920,9
20200105-071020,9
20200105-071120,11
20200105-071220,4
